PMWh,CapCost,Pkg
70,900,$5.11/kg
70,600,$4.78/kg
70,400,$4.55/kg
70,100,$4.44/kg
50,900,$3.96/kg
50,600,$3.62/kg
50,400,$3.40/kg
50,100,$3.29/kg
30,900,$2.80/kg
30,600,$2.47/kg
30,400,$2.25/kg
30,100,$2.14/kg
10,900,$1.65/kg
10,600,$1.32/kg
10,400,$1.09/kg
10,100,$0.98/kg
